Created file at epoch: 1136
(Timestamp: 48024) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 23.23, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.60V, Current: 83.91mA], Solar Cell 2: [Voltage: 3.44V, Current: 6.86mA]
(Timestamp: 48534) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 23.23, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.26V, Current: 42.44mA], Solar Cell 2: [Voltage: 3.50V, Current: 7.18mA]
(Timestamp: 49044) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.90, 26.77, 20.00, 25.81], Solar Cell 1: [Voltage: 0.15V, Current: 27.75mA], Solar Cell 2: [Voltage: 3.48V, Current: 6.86mA]
(Timestamp: 49557) Temperature Readings: [21.29, 19.03, 29.68, 20.00, 22.90, 27.10, 20.00, 25.48], Solar Cell 1: [Voltage: 0.12V, Current: 24.49mA], Solar Cell 2: [Voltage: 3.17V, Current: 6.53mA]
(Timestamp: 50064) Temperature Readings: [21.61, 19.03, 30.00, 20.00, 22.90, 26.77, 20.32, 25.81], Solar Cell 1: [Voltage: 0.10V, Current: 23.51mA], Solar Cell 2: [Voltage: 2.34V, Current: 5.22mA]
(Timestamp: 50570) Temperature Readings: [21.29, 19.03, 30.00, 20.00, 22.58, 26.77, 20.32, 25.81], Solar Cell 1: [Voltage: 0.14V, Current: 27.43mA], Solar Cell 2: [Voltage: 1.55V, Current: 4.24mA]
(Timestamp: 51076) Temperature Readings: [21.61, 19.03, 30.00, 20.00, 22.58, 26.77, 20.32, 25.16], Solar Cell 1: [Voltage: 0.62V, Current: 88.15mA], Solar Cell 2: [Voltage: 1.63V, Current: 4.24mA]
(Timestamp: 51583) Temperature Readings: [21.61, 19.03, 29.68, 20.00, 22.26, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.75V, Current: 102.52mA], Solar Cell 2: [Voltage: 2.17V, Current: 4.90mA]
(Timestamp: 52092) Temperature Readings: [21.94, 19.35, 29.68, 20.00, 22.58, 27.10, 20.32, 25.81], Solar Cell 1: [Voltage: 0.77V, Current: 104.81mA], Solar Cell 2: [Voltage: 2.94V, Current: 5.88mA]
(Timestamp: 52600) Temperature Readings: [21.61, 19.03, 30.00, 20.00, 22.26, 26.77, 20.32, 25.81], Solar Cell 1: [Voltage: 0.75V, Current: 101.87mA], Solar Cell 2: [Voltage: 3.19V, Current: 6.53mA]
(Timestamp: 53109) Temperature Readings: [21.61, 19.03, 29.68, 19.68, 22.26, 26.77, 20.32, 25.81], Solar Cell 1: [Voltage: 0.75V, Current: 101.21mA], Solar Cell 2: [Voltage: 3.16V, Current: 6.53mA]
(Timestamp: 53618) Temperature Readings: [21.61, 19.03, 29.68, 19.68, 22.26, 26.77, 20.32, 25.81], Solar Cell 1: [Voltage: 0.79V, Current: 106.44mA], Solar Cell 2: [Voltage: 2.80V, Current: 5.88mA]
(Timestamp: 54128) Temperature Readings: [21.61, 19.03, 29.68, 19.68, 21.94, 26.77, 20.32, 25.81], Solar Cell 1: [Voltage: 0.82V, Current: 109.05mA], Solar Cell 2: [Voltage: 1.96V, Current: 4.57mA]
(Timestamp: 54638) Temperature Readings: [21.29, 19.03, 29.68, 19.68, 21.94, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.82V, Current: 109.05mA], Solar Cell 2: [Voltage: 1.63V, Current: 4.24mA]
(Timestamp: 55149) Temperature Readings: [21.61, 19.03, 29.68, 19.68, 21.94, 26.77, 20.32, 25.81], Solar Cell 1: [Voltage: 0.82V, Current: 109.38mA], Solar Cell 2: [Voltage: 1.86V, Current: 4.57mA]
(Timestamp: 55660) Temperature Readings: [21.61, 19.03, 30.00, 19.68, 21.61, 27.10, 20.00, 25.81], Solar Cell 1: [Voltage: 0.81V, Current: 108.72mA], Solar Cell 2: [Voltage: 2.44V, Current: 5.22mA]
(Timestamp: 56166) Temperature Readings: [21.61, 19.03, 29.68, 19.68, 21.61, 26.45, 20.32, 25.81], Solar Cell 1: [Voltage: 0.77V, Current: 105.79mA], Solar Cell 2: [Voltage: 2.92V, Current: 5.88mA]
(Timestamp: 56673) Temperature Readings: [21.94, 19.03, 29.68, 19.35, 21.61, 27.10, 20.32, 25.81], Solar Cell 1: [Voltage: 0.70V, Current: 96.32mA], Solar Cell 2: [Voltage: 3.12V, Current: 6.53mA]
(Timestamp: 57179) Temperature Readings: [21.61, 19.03, 29.68, 19.35, 21.61, 26.77, 20.32, 25.81], Solar Cell 1: [Voltage: 0.57V, Current: 82.60mA], Solar Cell 2: [Voltage: 3.30V, Current: 6.53mA]
(Timestamp: 57687) Temperature Readings: [21.61, 19.35, 29.68, 19.68, 21.29, 26.77, 20.32, 25.81], Solar Cell 1: [Voltage: 0.42V, Current: 65.30mA], Solar Cell 2: [Voltage: 3.43V, Current: 6.86mA]
(Timestamp: 58194) Temperature Readings: [21.61, 19.03, 30.00, 19.35, 21.29, 26.77, 20.32, 26.13], Solar Cell 1: [Voltage: 0.38V, Current: 60.40mA], Solar Cell 2: [Voltage: 3.49V, Current: 6.86mA]
(Timestamp: 58703) Temperature Readings: [21.61, 19.03, 30.00, 19.35, 21.29, 26.77, 20.32, 25.81], Solar Cell 1: [Voltage: 0.46V, Current: 70.20mA], Solar Cell 2: [Voltage: 3.51V, Current: 6.86mA]
